topic,query,url
886,AEQZNZSVT5BGPPUTTJO7SNMOLE,https://www.washingtonpost.com/politics/2019/06/05/trump-says-transgender-troops-cant-serve-because-troops-cant-take-any-drugs-hes-wrong-many-ways/
887,L3GFDSBDMUI6VBXTHNIBTVCR3M,https://www.washingtonpost.com/local/virginia-politics/two-virginia-democrats-want-to-replace-the-robert-e-lee-statue-in-the-capitol/2019/12/23/5ecc51c8-2365-11ea-86f3-3b5019d451db_story.html
888,8fb2903f12dfbb787023fd1daa1a7ccc,https://www.washingtonpost.comhttps://www.washingtonpost.com/news/wonk/wp/2015/11/09/haunting-photos-show-forgotten-and-forbidden-buildings-in-america/
889,516fb0da-1b92-11e6-9c81-4be1c14fb8c8,https://www.washingtonpost.comhttps://www.washingtonpost.com/opinions/congress-betrays-afghans-who-risked-their-lives-to-help-the-us/2016/05/16/516fb0da-1b92-11e6-9c81-4be1c14fb8c8_story.html
890,QD7AORAY6AI6TCH67H3XUO6LNQ,https://www.washingtonpost.com/entertainment/music/as-a-classical-music-critic-i-used-to-think-the-star-wars-score-was-beneath-me-i-was-wrong/2019/01/17/80fe0744-18f0-11e9-88fe-f9f77a3bcb6c_story.html
891,e02565e5e463e1485c59e8a1cb1f1c79,https://www.washingtonpost.comhttps://www.washingtonpost.com/news/the-switch/wp/2015/04/24/comcast-chiefs-last-minute-pleas-to-a-former-ally-fell-on-deaf-ears/
892,O6LNXJXESUI6TNAD644ITGMC2I,https://www.washingtonpost.com/local/trafficandcommuting/maryland-plan-to-widen-i-270-first-could-make-traffic-worse-toll-lane-advocates-say/2019/10/11/7796dba6-e495-11e9-b403-f738899982d2_story.html
893,003bb6c325f64e2dd4a153578c096b81,https://www.washingtonpost.comhttps://www.washingtonpost.com/news/energy-environment/wp/2017/08/16/the-northwest-passages-most-famous-shipwrecks-lie-in-these-waters-scientists-are-still-finding-out-what-else-lies-beneath/
894,25eca252d956fe443df0fb2bcff9b39b,https://www.washingtonpost.comhttps://www.washingtonpost.com/news/digger/wp/2014/09/09/four-developers-eye-takoma-park-co-op-expansion/
895,615f0d53ac8f1e05c51bfebf4fdaf0e5,https://www.washingtonpost.comhttps://www.washingtonpost.com/news/to-your-health/wp/2015/04/09/sabra-pulls-30000-cases-of-hummus-off-store-shelves-due-to-listeria-fears/
896,5a350c34-542b-11e1-8941-727ff558a2ff,https://www.washingtonpost.comhttps://www.washingtonpost.com/opinions/nixons-great-decision-on-china-40-years-later/2012/02/10/gIQAtFh34Q_story.html
897,04846c27216e2d06d7c7cd10f7a3bd8c,https://www.washingtonpost.comhttps://www.washingtonpost.com/news/dr-gridlock/wp/2017/08/08/another-person-arrested-with-guns-in-their-carry-on-bag-this-time-at-a-bwi-airport-checkpoint/
